Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,IC50,pChEMBL Value
CHEMBL3742151,,None,514.62,1,4.35,CC(=O)O[C@H]1CC(=O)OC(C)(C)[C@@H]2CC[C@]3(C)[C@H](CC=C(C)[C@@]34C[C@]3(OC(C)=C(C)C3=O)C(=O)O4)[C@@]12C,300000,
CHEMBL2436707,,None,617.79,2,6.36,Nc1ccc(-c2cc(=O)c3ccc(OCCCN4CCN(CCCNc5c6c(nc7ccccc57)CCCC6)CC4)cc3o2)cc1,,
CHEMBL2436705,,None,616.81,2,7.08,Cc1ccc(-c2cc(=O)c3ccc(OCCCN4CCN(CCCNc5c6c(nc7ccccc57)CCCC6)CC4)cc3o2)cc1,,
CHEMBL245477,,None,368.52,1,6.16,CN(C)c1ccc(/C=C/c2cccc(/C=C/c3ccc(N(C)C)cc3)c2)cc1,20000,
CHEMBL4075646,,None,261.71,0,2.91,Cn1cc(O)c(=O)cc1/C=C/c1ccc(Cl)cc1,,
CHEMBL4095654,,None,272.26,0,2.17,Cn1cc(O)c(=O)cc1/C=C/c1ccc([N+](=O)[O-])cc1,,
CHEMBL4095488,,None,229.24,0,1.96,O=c1cc(/C=C/c2ccccc2O)[nH]cc1O,21760,4.66
CHEMBL4078980,,None,243.26,0,1.97,Cn1cc(O)c(=O)cc1/C=C/c1ccccc1O,,
CHEMBL4067481,,None,290.37,0,3.82,c1ccc(CNc2nc(NC3CC3)nc3ccccc23)cc1,5700,5.24
CHEMBL140,,None,368.39,0,3.37,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,1000,6
CHEMBL2436706,,None,632.8,2,6.78,COc1ccc(-c2cc(=O)c3ccc(OCCCN4CCN(CCCNc5c6c(nc7ccccc57)CCCC6)CC4)cc3o2)cc1,,
CHEMBL573,NIACIN,4,123.11,0,0.78,O=C(O)c1cccnc1,13100,4.88
CHEMBL3330736,,None,305.83,0,3.84,CNc1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],3000,
CHEMBL164,MYRICETIN,None,318.24,1,1.69,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,3000,
CHEMBL3330754,,None,309.42,1,5.44,O=Cc1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)s2)s1,10000,
CHEMBL2337291,,None,218.21,0,2.18,Oc1ccc(-c2ccc(O)c(O)c2)cc1O,1000,6
CHEMBL4072235,,None,227.26,0,2.26,Cn1cc(O)c(=O)cc1/C=C/c1ccccc1,,
CHEMBL4097746,,None,271.32,0,2.66,CCOc1ccc(/C=C/c2cc(=O)c(O)cn2C)cc1,8940,5.05
CHEMBL4070599,,None,243.26,0,2.26,COc1ccccc1/C=C/c1cc(=O)c(O)c[nH]1,16500,4.78
CHEMBL4094556,,None,287.32,0,2.28,COc1cc(/C=C/c2cc(=O)c(O)cn2C)cc(OC)c1,,
CHEMBL4226505,,None,398.47,0,3.17,N#Cc1ccc(/C=C/C(=O)N2CCN(Cc3ccc(O)c4ncccc34)CC2)cc1,16810,4.77
CHEMBL4226121,,None,409.92,0,3.87,O=C(CCc1ccc(Cl)cc1)N1CCN(Cc2ccc(O)c3ncccc23)CC1,,
CHEMBL4225721,,None,435.52,0,3.23,COc1ccc(CCC(=O)N2CCN(Cc3ccc(O)c4ncccc34)CC2)cc1OC,,
CHEMBL4114267,,None,404.35,0,2.24,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)OCC2(F)F)n1,7,8.15
CHEMBL3589108,,None,552.49,2,5.86,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1Oc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,50000,
CHEMBL451902,,None,552.49,2,5.44,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1-c1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,50000,
CHEMBL378516,,None,594.57,2,6.35,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4OC)c3o2)cc1,50000,
CHEMBL220745,PODOCARPUSFLAVONE A,None,552.49,2,5.44,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O)c3o2)cc1,4900,5.31
CHEMBL3948649,,None,571.02,1,3.74,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cccnn1,4.5,8.35
CHEMBL3900140,,None,571.02,1,3.74,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccncn1,2.9,8.54
CHEMBL3909054,,None,571.02,1,3.74,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cncnc1,12.9,7.89
CHEMBL3984227,,None,585.05,1,3.93,Nc1ncccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,18,7.75
CHEMBL248339,,None,480.65,1,7.25,COc1cc(/C=C/c2cccc(/C=C/c3ccc(N4CCCC4)c(OC)c3)c2)ccc1N1CCCC1,20000,
CHEMBL247930,,None,372.47,1,5.21,COc1cc(/C=C/c2cccc(/C=C/c3ccc(N)c(OC)c3)c2)ccc1N,600,6.22
CHEMBL247674,,None,401.51,1,5.52,CNc1ccc(/C=C/c2cccc(/C=C/c3ccc(NC)c(OC)c3)n2)cc1OC,500,6.3
CHEMBL2179242,,None,291.69,0,3.89,O=C(Nc1ccccc1)Nc1ccc(Cl)cc1[N+](=O)[O-],900,6.05
CHEMBL851,PHENYL PROPIONIC ACID,None,150.18,0,1.7,O=C(O)CCc1ccccc1,,
CHEMBL153,TROLOX,None,250.29,0,2.49,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,
CHEMBL4226827,,None,409.92,0,3.87,O=C(CCc1ccccc1Cl)N1CCN(Cc2ccc(O)c3ncccc23)CC1,5640,5.25
CHEMBL450553,,None,760.98,2,8.21,CCN(CCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCCCCN(CC)Cc1ccccc1OC)C3=O)Cc1ccccc1OC,9690,5.01
CHEMBL1744462,,None,281.35,0,2.96,[3H]C([3H])([3H])N(c1ccc(-c2nc3ccc(OC)cc3o2)cn1)C([3H])([3H])[3H],204,6.69
CHEMBL297453,EPIGALOCATECHIN GALLATE,3,458.38,2,2.23,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,4600,5.34
CHEMBL4227472,,None,480.06,1,5.36,Clc1ccc2c(Nc3cc(CN4CCOCC4)cc(NCCN4CCCCC4)c3)ccnc2c1,2500,5.6
CHEMBL317760,,None,480.06,1,5.9,CCN(CC)Cc1cc(NC(=O)CN2CCCCC2)cc(Nc2ccnc3cc(Cl)ccc23)c1,2800,5.55
CHEMBL451753,,None,466.07,1,6.37,CCN(CC)Cc1cc(NCCN2CCCCC2)cc(Nc2ccnc3cc(Cl)ccc23)c1,13800,4.86
CHEMBL167970,,None,436.99,1,5.53,Oc1c(CN2CCCC2)cc(Nc2ccnc3cc(Cl)ccc23)cc1CN1CCCC1,11200,4.95
CHEMBL4226684,,None,576.79,1,3.69,O=C(NCCN1CCCCC1)c1cc(Nc2ccccc2CN2CCOCC2)cc(C(=O)NCCN2CCCCC2)c1,10000,
CHEMBL4226959,,None,561.86,1,4.33,CN1CCN(Cc2ccccc2Nc2cc(CNCCN3CCCCC3)cc(CNCCN3CCCCC3)c2)CC1,10000,
CHEMBL4226906,,None,561.77,1,3.62,O=C(NCCN1CCCCC1)c1cc(C(=O)NCCN2CCCCC2)cc(-c2ccccc2CN2CCOCC2)c1,10000,
CHEMBL4226945,,None,451.02,0,4.14,CN1CCN(c2cc(Nc3ccnc4cc(Cl)ccc34)cc(N3CCN(C)CC3)c2)CC1,2300,5.64
CHEMBL4436866,,None,369.38,0,4.4,O=[N+]([O-])c1cccc(C2C=C(c3cccc4ccccc34)Nc3nncn32)c1,17440,4.76
CHEMBL4444043,,None,342.38,0,4.63,Fc1ccc(C2C=C(c3cccc4ccccc34)Nc3nncn32)cc1,3870,5.41
CHEMBL4451935,,None,690.93,2,6.74,CCN(CCCCCCNC(=O)c1cc(O)c(C(=O)NCCCCCCN(CC)Cc2ccccc2OC)cc1O)Cc1ccccc1OC,3310,5.48
CHEMBL4852794,,None,370.79,0,4.5,O=C(Nc1ccccc1)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,,
CHEMBL497,CLIOQUINOL,4,305.5,0,3.2,Oc1c(I)cc(Cl)c2cccnc12,100000,4
CHEMBL2386874,,None,322.37,0,3.78,CN(C)c1cccc(Oc2cnc(Nc3cccc(O)c3)nc2)c1,100000,4
CHEMBL497,CLIOQUINOL,4,305.5,0,3.2,Oc1c(I)cc(Cl)c2cccnc12,9800,5.01
CHEMBL200014,,None,621.87,1,4.9,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,9900,5
CHEMBL3286981,,None,381.41,0,2.09,COc1cc(/C=c2\sc3nc(-c4ccncc4)cn3c2=O)cc(OC)c1O,93,7.03
CHEMBL3286984,,None,463.74,0,4.1,COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Br)c1O,18,7.75
CHEMBL3692697,,None,651.09,2,7.48,O=C(CCc1cc(C(F)(F)F)ccc1C(F)(F)F)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,630000,
CHEMBL2425958,,None,349.39,0,2.47,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,9500,5.02
CHEMBL2425959,,None,388.43,0,2.95,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1c[nH]c2ccccc12,50000,
CHEMBL3594076,,None,298.3,0,2.87,COc1cc(-c2cc(-c3c(O)cccc3O)[nH]n2)ccc1O,4300,5.37
CHEMBL310242,,None,311.42,0,3.32,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,1800,5.75
CHEMBL3739499,,None,438.56,1,5.21,CC1=CC[C@@H]2[C@@]3(C)C=CC(=O)OC(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(c(C)c(C)oc1=O)O2,300000,
CHEMBL3740581,,None,243.31,0,2.4,CC1=NN(c2cccc(N3CCCC3)c2)C(=O)C1,16800,4.78
CHEMBL3740979,,None,202.26,0,2.42,CC1=NN(c2cc(C)ccc2C)C(=O)C1,,
CHEMBL3916256,,None,468.6,1,5.47,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CCN(c4ccc(C)cc4C)CC3)cc1)C2,,
CHEMBL3951861,,None,442.52,0,3.64,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CCN(c4ncccn4)CC3)cc1)C2,9900,5
CHEMBL4874834,,None,337.38,0,2.67,COc1cccc(CNc2ccc3nc4n(c(=O)c3c2)CCC4)c1O,4200,5.38
CHEMBL4852660,,None,337.38,0,2.67,COc1ccc(CNc2ccc3nc4n(c(=O)c3c2)CCC4)c(O)c1,3910,5.41
CHEMBL4860689,,None,351.41,0,2.98,COc1ccc(CNc2cc3c(=O)n4c(nc3cc2C)CCC4)c(O)c1,3220,5.49
CHEMBL2386726,,None,438.74,0,2.91,C[C@]1(c2nc(NC(=O)c3nn(C(F)F)cc3Cl)ccc2F)N=C(N)OCC1(F)F,13,7.89
CHEMBL4456050,,None,347.18,None,None,CN(C)c1ccc2c3c(ccc2c1)OB(O)C(c1cc(O)cc(O)c1)=C3,,
CHEMBL3629742,,None,485.02,1,5.99,O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(CCSCC3)[C@@H]1COc1c(F)ccc(F)c12,26.4,7.58
CHEMBL3667038,,None,490.35,1,5.4,CC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1,320,6.5
CHEMBL3326704,,None,469.59,1,5.62,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2oc1=O,100000,
CHEMBL3938007,,None,445.52,0,4.99,COc1cc(OCC2CCCO2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,2500,5.6
CHEMBL3911667,,None,368.39,0,3.37,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(O)c2OC)ccc1O,1900,5.72
CHEMBL4787961,,None,508.83,2,11.97,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)CCCC1,180,6.75
CHEMBL2386720,,None,424.77,0,2.59,C[C@]1(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)N=C(N)OCC1(F)F,8,8.1
CHEMBL3902027,,None,448.41,0,2.26,COCC[C@@]1(c2nc(NC(=O)c3ncc(C#N)cc3C)ccc2F)N=C(N)OCC1(F)F,10000,
CHEMBL2059388,,None,330.38,1,5.14,Oc1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(O)cc3)c2)cc1,1600,5.8
CHEMBL3330737,,None,504.64,2,8.6,N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,410,
CHEMBL4462662,,None,330.43,0,2.96,CCN(CC)CCCOc1ccc(-n2ccc(=O)c(O)c2C)cc1,17230,4.76
CHEMBL3667023,,None,576.44,2,5.72,COC(=O)CCCC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1,310,6.51
CHEMBL3667032,,None,440.45,0,3.22,COC(=O)COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1OC,140,6.85
CHEMBL2436710,,None,647.78,2,6.68,O=c1cc(-c2ccc([N+](=O)[O-])cc2)oc2cc(OCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,14100,4.85
CHEMBL2436704,,None,632.8,2,6.78,COc1cc(OCCCN2CCN(CCCNc3c4c(nc5ccccc35)CCCC4)CC2)cc2oc(-c3ccccc3)cc(=O)c12,9600,5.02
CHEMBL2436701,,None,630.83,2,7.56,O=c1cc(-c2ccccc2)oc2cc(OCCCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,13200,4.88
CHEMBL2425961,,None,363.42,0,2.72,CCc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,6800,5.17
CHEMBL2425960,,None,335.36,0,2.16,O=C(/C=C/c1ccc2c(=O)n(CCc3ccccc3)cnc2c1)NO,5500,5.26
CHEMBL2436694,,None,588.75,2,6.39,O=c1cc(-c2ccccc2)oc2cc(OCCCN3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,13700,4.86
CHEMBL248122,,None,401.51,1,5.52,CNc1cc(/C=C/c2cccc(/C=C/c3ccc(OC)c(NC)c3)n2)ccc1OC,1100,5.96
CHEMBL2203385,,None,268.25,0,2.92,Cn1ccc2cc(-c3nc4ccc(F)nc4o3)cnc21,10.5,7.98
CHEMBL2203392,,None,268.25,0,2.92,Cn1cnc2cc(-c3nc4ccc(F)nc4o3)ccc21,1000,
CHEMBL2203391,,None,268.25,0,2.92,Cn1ccc2cc(-c3nc4ccc(F)nc4o3)ncc21,1000,
CHEMBL2203390,,None,268.25,0,2.92,Cn1ncc2cc(-c3nc4ccc(F)nc4o3)ccc21,48.7,7.31
CHEMBL2203288,,None,244.22,0,3.04,COc1ccc(-c2nc3ccc(F)nc3o2)cc1,32.5,7.49
CHEMBL3901022,,None,451.52,1,6.01,COc1cc(OCc2ccccc2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,5400,5.27
CHEMBL202507,,None,621.87,1,4.9,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,740,6.13
CHEMBL3781022,,None,430.56,0,4.12,CN(C)c1ccc(-c2cc(NCCNc3cc(-c4ccc(N(C)C)cc4)[nH]n3)n[nH]2)cc1,7500,5.12
CHEMBL309490,GALANGIN,None,270.24,0,2.58,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,500000,
CHEMBL3739748,,None,477.61,0,3.68,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6OC=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C,269500,
CHEMBL3740761,,None,202.26,0,2.36,CCc1ccccc1N1N=C(C)CC1=O,,
CHEMBL3740785,,None,461.56,0,2.99,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)NC3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2,244300,
CHEMBL1077196,,None,258.31,0,2.5,CNc1ncc(-c2nc3ccc(O)cc3s2)cn1,267,6.57
CHEMBL1082889,,None,255.28,0,2.94,CNc1ccc(-c2nc3ccc(OC)cc3o2)cn1,185,6.73
CHEMBL3582130,,None,324.33,0,2.06,C[C@@]12c3ccc4c(c3C(=O)c3occ(c31)[C@@H](O)C[C@@H]2O)CCC4=O,10100,5
CHEMBL231250,,None,532.11,1,4.94,O=C(OCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,73,7.14
CHEMBL4876778,,None,370.45,0,2.53,CN1CCN(CCCOc2ccc(/C=C/c3cc(=O)c(O)co3)cc2)CC1,5540,5.26
CHEMBL4856094,,None,354.45,0,3.13,Cn1cc(O)c(=O)cc1/C=C/c1ccc(OCCCN2CCCC2)cc1,3290,5.48
CHEMBL4853496,,None,356.47,0,3.37,CCN(CC)CCCOc1ccc(/C=C/c2cc(=O)c(O)cn2C)cc1,5380,5.27
CHEMBL153,TROLOX,None,250.29,0,2.49,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,
CHEMBL165,RESVERATROL,3,228.25,0,2.97,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,11890,4.92
CHEMBL32749,FERULATE,-1,194.19,0,1.5,COc1cc(/C=C/C(=O)O)ccc1O,100000,
CHEMBL98521,,None,164.16,0,1.49,O=C(O)/C=C/c1cccc(O)c1,100000,
CHEMBL4175715,,None,236.29,0,2.64,C=CCOC(=S)/C=C/c1ccc(O)c(O)c1,12500,4.9
CHEMBL3593277,,None,828.79,2,2.29,CCN1/C(=C/C=C/c2sc3ccc(OCc4no[n+]([O-])c4C(N)=O)cc3[n+]2CC)Sc2ccc(OCc3no[n+]([O-])c3C(N)=O)cc21.O=S(=O)([O-])C(F)(F)F,17000,4.77
CHEMBL81782,,None,492.45,1,5.7,CCN1/C(=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21.[I-],3300,5.48
CHEMBL2063873,,None,469.78,1,6.21,Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(/N=C/c2cc(Cl)cc(Cl)c2O)c1,62000,4.21
CHEMBL230931,,None,522.07,1,3.38,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,680,6.17
CHEMBL231544,,None,517.05,1,4.64,O=C(NCCCn1ccnc1)OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1,86,7.07
CHEMBL245476,,None,481.39,1,6.82,COc1ccc(/C=C/c2cc(Br)cc(/C=C/c3ccc(OC)c(OC)c3)c2)cc1OC,20000,4.7
CHEMBL247932,,None,428.58,1,6.18,COc1cc(/C=C/c2cccc(/C=C/c3ccc(N(C)C)c(OC)c3)c2)ccc1N(C)C,1000,6
CHEMBL427878,,None,454.32,1,5.61,COc1cc(/C=C/c2cc(Br)cc(/C=C/c3ccc(O)c(OC)c3)n2)ccc1O,1100,5.96
CHEMBL247725,,None,373.46,0,4.92,CNc1ccc(/C=C/c2cccc(/C=C/c3ccc(NC)c(O)c3)n2)cc1O,900,6.05
CHEMBL4284208,,None,230.22,0,2.22,O=c1cc(/C=C/c2ccccc2O)occ1O,8290,5.08
CHEMBL4553651,,None,634.82,2,5.18,CCN(CCCCNC(=O)c1cc(O)c(C(=O)NCCCCN(CC)Cc2ccccc2OC)cc1O)Cc1ccccc1OC,3050,5.52
CHEMBL2408094,,None,342.39,0,3.71,CCOCCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1,19100,4.72
CHEMBL2408091,,None,434.49,1,5.15,COc1ccc(C(=O)/C=C/c2ccc(OCCCOc3ccccc3)c(OC)c2)c(O)c1,10900,4.96
CHEMBL2408101,,None,367.4,0,2.77,COc1ccc(C(=O)/C=C/c2ccc(C(=O)N3CCOCC3)cc2)c(O)c1,3200,5.5
CHEMBL492217,,None,293.37,0,4.68,COc1ccc2oc(/C=C/c3ccc(N(C)C)cc3)cc2c1,810,6.09
CHEMBL93124,PITTSBURGH COMPOUND B,0.5,256.33,0,3.71,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,19,7.72
CHEMBL2048309,,None,285.28,0,2.77,CNc1ccc(-c2cc3cc(C(N)=O)ccc3o2)c(F)n1,19,7.72
CHEMBL2048312,,None,272.24,0,2.44,NC(=O)c1ccc(-c2cc3cc(O)ccc3o2)c(F)n1,44,7.36
CHEMBL2146607,,None,678.6,3,2.71,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,2200,5.66
CHEMBL194760,,None,256.28,0,3.61,O=C(O)C1(c2ccc(-c3ccccc3)c(F)c2)CC1,,
CHEMBL194838,,None,338.42,1,5.66,O=C(O)C1(c2ccc(-c3ccc(C4CCCCC4)cc3)c(F)c2)CC1,,
CHEMBL382721,,None,356.39,0,4.17,O=C(O)C1(c2ccc(-c3ccc(OC4CCOCC4)cc3)c(F)c2)CC1,,
CHEMBL196070,,None,336.29,0,4.18,CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,114000,
CHEMBL197305,,None,389.37,0,3.69,CC(C(=O)NS(C)(=O)=O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,,
CHEMBL193971,,None,312.26,0,4.7,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,,
CHEMBL4091301,,None,270.33,0,2.33,CN(C)c1ccc(/C=C/c2cc(=O)c(O)cn2C)cc1,,
CHEMBL4435800,,None,527.66,2,5.36,CCOc1nc(CC)c(CNC(=O)[C@@H](S)CC(C)C)n1Cc1ccc(-c2ccccc2C(=O)O)cc1F,10000,
CHEMBL2059391,,None,390.44,1,5.16,COc1ccc(/C=C/c2cc(O)cc(/C=C/c3ccc(OC)c(O)c3)c2)cc1O,1600,5.8
CHEMBL1744459,,None,279.38,0,3.41,[3H]N(c1ccc(-c2nc3ccc(OC)cc3s2)cn1)C([3H])([3H])[3H],58,7.24
CHEMBL1744461,,None,249.28,0,2.64,[3H]N(c1ccc(-c2nc3ccc(O)cc3o2)cn1)C([3H])([3H])[3H],182,6.74
CHEMBL4439214,,None,404.9,1,6.69,CCOc1cc(CNc2ccccc2)ccc1Oc1ccnc2cc(Cl)ccc12,44520,4.35
CHEMBL3286988,,None,414.87,0,3.35,COc1cc(/C=c2\sc3nc(-c4cccc(Cl)c4)cn3c2=O)cc(OC)c1O,6,8.22
CHEMBL4092601,,None,309.37,0,3.3,COc1ccc(CCNc2ncnc3ccccc23)cc1OC,12000,4.92
CHEMBL194760,,None,256.28,0,3.61,O=C(O)C1(c2ccc(-c3ccccc3)c(F)c2)CC1,-1,
CHEMBL206766,,None,431.58,0,3.27,CCC[C@H](C(=O)NO)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2ccccc2)C1=O,6800,5.17
CHEMBL205714,,None,563.78,2,6.47,CCCCNC(=O)[C@@H](CCC)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,5000,5.3
CHEMBL208230,,None,513.73,1,4.06,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(NN3CCCCC3)c2)C1=O,74,7.13
CHEMBL410532,,None,536.72,2,5,CCC[C@H](C(N)=O)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Nc3cccc(OC)c3)c2)C1=O,54,7.27
CHEMBL116438,CURCUMIN,3,368.39,0,3.85,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,800,6.1
CHEMBL4112651,,None,375.52,0,3.95,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC3CCC3)cc1[C@]21N=C(C)C(N)=N1,2,8.7
CHEMBL3659993,,None,470.92,0,4.45,CC(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,7,8.15
CHEMBL3659995,,None,571.49,2,5.53,O=C(C[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)NCC(F)(F)F,25,7.6
CHEMBL3594077,,None,268.27,0,2.86,Oc1ccc(-c2cc(-c3c(O)cccc3O)[nH]n2)cc1,15800,4.8
CHEMBL3978488,,None,366.37,0,3.38,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3c(c2)OCO3)ccc1O,3700,5.43
CHEMBL3986412,,None,368.39,0,3.37,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(OC)c2O)ccc1O,5400,5.27
CHEMBL4111654,,None,409.37,0,2.38,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(C)c1,82,7.09
CHEMBL4110172,,None,429.33,0,1.35,C[C@]1(c2nc(NC(=O)c3ncc(OCF)nc3N)ccc2F)N=C(N)OCC1(F)F,30,7.52
CHEMBL541265,SALVIANOLIC ACID B,None,720.64,3,3.13,O=C(/C=C/c1cc(O)cc2c1[C@H](C(O)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O)[C@@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,1540,5.81
CHEMBL3286989,,None,452.84,0,4.36,COc1cc(/C=c2\sc3nc(-c4cccc(C(F)(F)F)c4)cn3c2=O)cc(Cl)c1O,123,6.91
CHEMBL4872910,,None,370.45,0,2.36,Cn1cc(O)c(=O)cc1/C=C/c1ccc(OCCCN2CCOCC2)cc1,5320,5.27
CHEMBL4879281,,None,400.28,0,3.73,Cc1cc2nc3n(c(=O)c2cc1NCc1cccc(Br)c1O)CCC3,9270,5.03
